Year,LocationAbbr,LocationDesc,HealthTopic,PolicyTopic,Setting,Title,Status,Citation,StatusAltValue,EnactedDate,EffectiveDate
2010,NY,New York,Obesity,Incentives,Community,State Fiscal Plan,Dead,S6610,3,,
2011,WV,West Virginia,Nutrition,Appropriations,Community,Sales Tax on Food,Dead,H2977,3,,
2011,MA,Massachusetts,Physical Activity,Built Environment and Street-Scale Design,Community,Pedestrian Safety,Dead,SD19,3,,
2010,NC,North Carolina,Obesity,Menu Labeling,Community,Governors Budget,Dead,H1793,3,,
2011,FL,Florida,Physical Activity,"Parks, Recreation and Trails",School/After School,Chronic Diseases<br>,Dead,S526,3,1/1/2012 0:00,
2011,FL,Florida,Obesity,Health Insurance Coverage,Community,Chronic Diseases<br>,Dead,S526,3,1/1/2012 0:00,
2008,NH,New Hampshire,Obesity,Food Restrictions,Community,Poultry Sales,Dead,LSR87,3,,
2009,NY,New York,Nutrition,Appropriations,Community,Nutrition and Fitness Website,Dead,A5476,3,,
2010,HI,Hawaii,Nutrition,Appropriations,Community,Aliomanu Road Reconstruction,Dead,S2060,3,,
2009,NY,New York,Nutrition,Nutrition Standards,Community,Nutrition and Fitness Website,Dead,A5476,3,,
2009,MI,Michigan,Physical Activity,Physical Education Requirements,School/After School,Health Education,Dead,H4924,3,,
2009,IL,Illinois,Obesity,Food Restrictions,Community,Fiscal Year 2010 Budget,Dead,H4581,3,,
2009,MA,Massachusetts,Nutrition,Farmers Markets,Community,Farmers' Markets,Dead,HD4106,3,,
2009,MA,Massachusetts,Nutrition,Trans Fats,School/After School,Trans Fat in School Served Products,Dead,HD1250,3,,
2010,NY,New York,Obesity,Appropriations,Restaurant/Retail,Prohibited Food Stamp Purchases,Dead,A10965,3,,
2009,TX,Texas,Obesity,Food Restrictions,School/After School,Farm to School Coordination Task Force,Dead,H1840,3,,
2011,NY,New York,Obesity,Food Restrictions,Community,Regional Development,Dead,A1319,3,,
2009,CO,Colorado,Nutrition,Appropriations,School/After School,Beverage Policy,Enacted,R10099,1,1/1/2009 0:00,
2009,MN,Minnesota,Nutrition,Appropriations,Community,Agriculture,Dead,H2075,3,,
2010,KY,Kentucky,Obesity,Food Restrictions,Community,Honor Farmers/Food Checkout Week,Enacted,SR113,1,1/1/2010 0:00,
2010,KY,Kentucky,Physical Activity,Bicycling,Community,Bicycle and Bikeway Program,Enacted,R19202,1,1/1/2010 0:00,
2010,TX,Texas,Obesity,Sugar Sweetened Beverages,Early Care and Education,Nutrition And Food Service,Enacted,R18528,1,1/1/2010 0:00,
2009,MA,Massachusetts,Obesity,Body Mass Index (BMI),School/After School,Student Nutrition and Wellness,Dead,HD1736,3,,
2009,CO,Colorado,Nutrition,Agriculture and Farming,Community,Long Appropriations Bill,Enacted,S259,1,1/1/2009 0:00,
2009,NY,New York,Obesity,Appropriations,Community,Jerome Park Reservoir,Dead,A1133,3,,
2010,NJ,New Jersey,Obesity,Appropriations,Community,Transit Villages Act,Dead,A2825,3,,
2009,MA,Massachusetts,Nutrition,School Nutrition,School/After School,School Nutrition,Dead,HD638,3,,
2009,TX,Texas,Obesity,Appropriations,Community,Partnership for Children in Nature,Dead,H3271,3,,
2010,OK,Oklahoma,Nutrition,Task Forces/Councils,Restaurant/Retail,Food Availability,Dead,S1352,3,,
2008,NH,New Hampshire,Nutrition,Medical Care,Community,Bicycles on Roadways,Dead,LSR638,3,,
2011,UT,Utah,Nutrition,Appropriations,Community,Short Title - State Food Stamps Program,Dead,S193,3,,
2009,MN,Minnesota,Physical Activity,Pedestrians/Walking,Community,Capital Improvements,Dead,S844,3,,
2009,NJ,New Jersey,Obesity,Initiatives and Programs,School/After School,Childhood Obesity Prevention,Dead,S2911,3,,
2011,MA,Massachusetts,Nutrition,Farm Direct Foods,School/After School,Healthy School Meals,Dead,HD1500,3,,
2010,HI,Hawaii,Nutrition,Farmers Markets,Community,Aliomanu Road Reconstruction,Dead,S2060,3,,
2010,MA,Massachusetts,Nutrition,School Nutrition,School/After School,School Nutrition,Dead,S2322,3,,
2009,TX,Texas,Obesity,Appropriations,School/After School,Curriculum Requirements,Enacted,R16691,1,1/1/2009 0:00,
2009,NY,New York,Obesity,Appropriations,School/After School,Physical Education Instruction,Enacted,R20467,1,1/1/2009 0:00,
2009,NY,New York,Nutrition,Task Forces/Councils,School/After School,Office Of Nutrition And Fitness,Dead,A3095,3,,
2011,CT,Connecticut,Obesity,Liability and Indemnity,Restaurant/Retail,Tax on Soft Drinks,Dead,S256,3,,
2009,MI,Michigan,Physical Activity,Public Transportation,Community,Regional Transportation Authority,Dead,S1031,3,,
2008,VT,Vermont,Physical Activity,Initiatives and Programs,Work Place,Senate Resolution <br>,Enacted,SR27,1,1/1/2008 0:00,
2010,VA,Virginia,Nutrition,Medical Care,Community,Route 1 Corridor,Dead,HJR119,3,,
2010,TX,Texas,Obesity,Portion Size,Early Care and Education,Nutrition And Food Service,Enacted,R18528,1,1/1/2010 0:00,
2009,TX,Texas,Obesity,Appropriations,School/After School,Physical Education Curriculum,Dead,H3741,3,,
2010,NE,Nebraska,Physical Activity,Physical Education Requirements,School/After School,Accreditation,Enacted,R1717,1,1/1/2010 0:00,
2010,OR,Oregon,Obesity,Body Mass Index (BMI),Community,Multimodal Transportation Fund Program,Enacted,R32193,1,1/1/2010 0:00,
2009,LA,Louisiana,Nutrition,Appropriations,Community,Residential Licensing,Enacted,R11863,1,1/1/2009 0:00,
2010,MI,Michigan,Obesity,Food Restrictions,School/After School,School Grant Program,Dead,H6040,3,,
2010,HI,Hawaii,Physical Activity,Public Safety,Community,Parking in Bicycle Paths,Dead,HCR257,3,,
2009,MI,Michigan,Obesity,Food Restrictions,School/After School,School Soft Drink Ban,Dead,S279,3,,
2011,MT,Montana,Obesity,Liability and Indemnity,Restaurant/Retail,Soft Drink and Sugared Beverage Excise Tax,Dead,D1204,3,,
2011,MI,Michigan,Nutrition,Breastfeeding,Community,Breastfeeding in Public,Dead,S554,3,,
2010,AK,Alaska,Obesity,Appropriations,School/After School,Physical Education Standards,Enacted,R3980,1,1/1/2010 0:00,
2011,UT,Utah,Obesity,Food Restrictions,Community,Short Title - Locally Produced Agriculture,Dead,H396,3,,
2009,MN,Minnesota,Physical Activity,Built Environment and Street-Scale Design,Community,Natural Resources,Dead,H2004,3,,
2010,ID,Idaho,Nutrition,Media Campaigns,Community,Community Infrastructure Districts,Dead,H536,3,,
2012,IL,Illinois,Obesity,Food Restrictions,Restaurant/Retail,An Act Concerning Health  <br>,Dead,H5700,3,1/1/2012 0:00,
2011,NY,New York,Obesity,Appropriations,Community,Surcharge for Parking in a Bicycle Lane,Dead,S3938,3,,
2011,NY,New York,Nutrition,Appropriations,School/After School,School Body Mass Index Analysis,Dead,A922,3,,
2010,WA,Washington,Obesity,Food Restrictions,Restaurant/Retail,Food Systems,Enacted,EO10,1,1/1/2010 0:00,
2011,TX,Texas,Physical Activity,Public Transportation,Community,Bicycle Accommodation,Dead,H3731,3,,
2011,WV,West Virginia,Nutrition,Access to Healthy Foods,Community,Sales Tax on Food,Dead,H2977,3,,
2009,MI,Michigan,Nutrition,Trans Fats,Community,Fitness Credit,Dead,H4109,3,,
2010,HI,Hawaii,Obesity,Food Restrictions,Restaurant/Retail,Aliomanu Road Reconstruction,Dead,S2060,3,,
2009,TX,Texas,Physical Activity,Bicycling,School/After School,Specialty License Plates,Dead,H1834,3,,
2009,MT,Montana,Nutrition,Farm Direct Foods,Community,Farmers Market Laws,Dead,D1501,3,,
2009,MA,Massachusetts,Obesity,Health Insurance Coverage,School/After School,State Funded School Buildings,Dead,SD379,3,,
2011,FL,Florida,Nutrition,Media Campaigns,Community,Chronic Diseases<br>,Dead,S526,3,1/1/2012 0:00,
2009,KS,Kansas,Obesity,Appropriations,Community,Blind Persons,Dead,S295,3,,
2004,LA,Louisiana,Nutrition,Fruits and Vegetables,Community,Senate Resolution,Enacted,SR66,1,1/1/2004 0:00,
2011,NY,New York,Nutrition,Point of Purchase Promotion,Restaurant/Retail,Nutritional Information in Food Establishments,Dead,S1131,3,,
2010,VT,Vermont,Nutrition,Appropriations,Restaurant/Retail,Soft Drinks,Dead,H660,3,,
2009,HI,Hawaii,Nutrition,Appropriations,Community,General Excise Tax Exemption and Food,Dead,S355,3,,
2009,MA,Massachusetts,Physical Activity,School Siting,School/After School,Transportation System Modernization,Dead,H4051,3,,
2011,MA,Massachusetts,Obesity,Appropriations,Community,Cranberry Nutrient Management Study Commission,Dead,HD64,3,,
2010,NY,New York,Obesity,Menu Labeling,Community,Downstate Revitalization Fund Program,Enacted,R21505,1,1/1/2010 0:00,
2009,MN,Minnesota,Obesity,Appropriations,Community,Capital Improvements,Dead,H967,3,,
2009,UT,Utah,Obesity,Food Restrictions,Community,Food Establishment Registration,Enacted,R33072,1,1/1/2009 0:00,
2009,OR,Oregon,Nutrition,Medical Care,Community,Use of State Highway Fund Moneys,Dead,H2971,3,,
2009,MA,Massachusetts,Nutrition,School Nutrition,Community,Student Nutrition and Wellness,Dead,HD1736,3,,
